░ъзO,╖~зO,╣яе~зы╕ъи╞╖~жW║┘(дддх),╣яе~зы╕ъи╞╖~жW║┘(н^дх),░ъе~╣q╕▄,░ъе~╢╟пu,╣яе~и╞╖~жaз},░ъд║зы╕ъдH,░ъд║нt│dдH,░ъд║╣q╕▄,░ъд║╢╟пu,░ъд║жaз},▓╬д@╜s╕╣,еDнn└ч╖~╢╡е╪,о╓ну░O┐¤,о╓нудщ┤┴
м№░ъ,╛ў╣qбB╣qлHд╬╣q╕Ї│]│╞жw╕╦╖~,PERPETUAL SOUTHWESTERN CHINA L.L.C.,PERPETUAL SOUTHWESTERN CHINA L.L.C.,,,15 EAST NORTH STREET DOVER DELAWARE 19901 USA,╣d▒d░ъ╗┌╣qлHк╤еўж│ннд╜еq,▒iе№й╙          ,02-82263365         ,02-82265776         ,╗Oе_┐д(┬┬)ддйMел│sл░╕ЇдGд╗дK╕╣д@вп╝╙,16651175,│qлHдu╡{д╬╜├мPй╙п▓д╬о№╞lй╙п▓д╬╗y╖N┬р░т╡ем█├Ў╣qлHи╞╖~,,0920124
н^─▌║√и╩╕sоq,ифеLкў┐─╗▓зU╖~,"K LASER INTERNATIONAL CO.,LTD","K LASER INTERNATIONAL CO.,LTD",,,TRUSTNET CHAMBERS P.O.BOX 3444 ROAD TOWN TORTOLA BRITISH VIRGIN ISLANDS,е·╕s╣pоgмьз▐к╤еўж│ннд╜еq,│в║√кZ,03-5770316,03-5638430,╖sж╦елкFб@░╧╖sж╦мь╛╟дu╖~╢щ░╧дOжцд╗╕Ї1╕╣,22099322,▒▒к╤д╜еq,,0920127
дще╗,кў┐─▒▒к╤╖~,дO╖sдще╗дlд╜еq,NEWSOFT JAPAN CORPORATION,+81-3-54727008,+81-3-54727009,6-21-3 SHINBASHI MINATO-KU TOKYO 105-0004 JAPAN,дO╖s░ъ╗┌мьз▐к╤еўж│ннд╜еq,кL║aе═,02-5170750,,╗Oе_елд║┤Є░╧╖s┤Єд@╕Ї128л╤15╕╣6╝╙,22645531,жh┤C┼щ╣q╕г│n┼щ╡{жбдз╛P░т,,0920127
лX├╣┤╡,ифеLкў┐─╗▓зU╖~,ARIMA RESEARCH INTERNATIONAL LTD,ARIMA RESEARCH INTERNATIONAL LTD,,,"22 POLYTECHNICHESKAYA STR.,194021 SAINT-PETERSBURG RUSSIA",╡╪жt╣q╕гк╤еўж│ннд╜еq,зї┤╦е╨          ,02-27495588-216     ,02-27495577         ,░Є╢йеллH╕q░╧кQ╢й╕ЇдGдTдC╕╣дG╝╙,23413799,му╡oддд▀╖~░╚,,0920128
н^─▌║√и╩╕sоq,кў┐─▒▒к╤╖~,UNITECH CAPITAL INC,UNITECH CAPITAL INC,886227064486,886227034268,P.O.BOX 957 OFFSHORE INCORPORATIONA CENTRE ROAD TOWN TORTOLA,кY┐│╣qдlк╤еўж│ннд╜еq,┤┐дl│╣,03-3500386-11850,03-3595536,оч╢щ┐д(┬┬)└tдs╢m└tдsдu╖~░╧┐│и╣╕Ї38╕╣,23535435,зы╕ъ╖~░╚,,0920128
н^─▌║√и╩╕sоq,кў┐─▒▒к╤╖~,мW│Ў│┴▒▒к╤ж│ннд╜еq,JUTEMILL HOLDINGS LIMITED,,,PORTCULLIS TRUSTNET CHAMBERS P O BOX 3444 ROAD TOWN TORTOLA BRITISH VIRGIN ISLANDS,л╥─_дu╖~к╤еўж│ннд╜еq,┴┬?оЁ,04-23227510-810,04-23286663,╣№д╞┐д│└┤ф┬э└Yлnи╜лn╢╒л╤20-3╕╣,59347422,н^─▌║√и╩╕sоqкkл▀│WйwдU▒qи╞дзжXкkмб░╩й╬└ч╖~╢╡е╪,,0920128
м№░ъ,кў┐─▒▒к╤╖~,TEST RESSARCH USA INC,TEST RESSARCH USA INC,4085679898,4085679288,500 LAURELWOOD ROAD SUITE #1 SANTA CLARA CA 95054-2417,╝wл▀мьз▐к╤еўж│ннд╜еq,│п═k╖╜,02-28328918,02-28320598,╗Oе_елдhкL░╧╝wжцжш╕Їе|дн╕╣дC╝╙,23292535,┤·╕╒│]│╞╢R╜цд╬░тлскA░╚╖~░╚,,0920206
н╗┤ф,┐n┼щ╣q╕Ї╗s│y╖~,╗O╛ь╣qдl(н╗┤ф)ж│ннд╜еq,TAI HWA ELECTRONIC(HK)COMPANY LIMITED,85227712210,85223843747,RM 1103 11/F PRESIDENT COMM CTR 608 NATHAN RD MONG KOK KLN,├╧╕╬╣ъ╖~к╤еўж│ннд╜еq,кL┤╤е═,03-5714225,03-5772218,╖sж╦елд╜╣Dдн╕Ї2мq326╝╙,47250470,жU║╪╖~░╚дз╕g└чеN▓zд╬┼U░▌д╬░╙л~зх╡oд╬╣s░тд╬╢iеXдf╢R╜ц,,0920206
н^─▌║√и╩╕sоq,кў┐─▒▒к╤╖~,TIGER UNITED FINANCE LIMITED,TIGER UNITED FINANCE LIMITED,,,P.O.BOX 957 OFFSHORE INCORPORATIONS CENTRE ROAD TOWN TORTOLA,ж|л┼иt▓╬мьз▐к╤еўж│ннд╜еq,░к╖sй·          ,02-27296666         ,02-87884730         ,╗Oе_елкQдs░╧дK╝w╕Їе|мqд@дGдT╕╣дC╝╙дзе|Aл╟,23145632,┬рзы╕ъдз▓г╛P╖~░╚,,0920211
н^─▌║√и╩╕sоq,кў┐─▒▒к╤╖~,UNITECH CAPITAL INC,UNITECH CAPITAL INC,886227064486,886227034268,P.O.BOX 957 OFFSHORE INCORPORATIONA CENTRE ROAD TOWN TORTOLA,┴p╡·мьз▐к╤еўж│ннд╜еq,жєої╡╧,03-5670889-25126,03-5678258,╖sж╦елмь╛╟дu╖~╢щ░╧│╨╖sд@╕Їд@дT╕╣дG╝╙,84149955,зы╕ъ╖~░╚,,0920211
н^─▌║√и╩╕sоq,║южX░╙л~зх╡o╖~,G GLOBAL INC,G GLOBAL INC,,,P.O.BOX 3321 ROAD TOWN TORTOLA BRITISH VIRGIN ISLANDS,кFеx║ы╛ўк╤еўж│ннд╜еq,─Y╖ч╢п,07-9761588,,░к╢пел╕Їж╦░╧╕ЇмьдT╕Ї3╕╣,88120872,░╙л~╢R╜ц╖~░╚,,0920211
н^─▌║√и╩╕sоq,кў┐─▒▒к╤╖~,UNITECH CAPITAL INC,UNITECH CAPITAL INC,886227064486,886227034268,P.O.BOX 957 OFFSHORE INCORPORATIONA CENTRE ROAD TOWN TORTOLA,┴p│╟░ъ╗┌к╤еўж│ннд╜еq,░qо╝            ,03-5798797-8562     ,03-5798859          ,╖sж╦┐ддu╖~кFдE╕ЇдCдздG╕╣дT╝╙╖sж╦мь╛╟╢щ░╧,84149759,зы╕ъ╖~░╚,,0920212
м№░ъ,┐n┼щ╣q╕Ї╗s│y╖~,AURORA SYSTEMS INC,AURORA SYSTEMS INC,,,1754 TECHNOLOGY DR SUITE 230 SAN JOSE CA 95131,е·╕s╣pоgмьз▐к╤еўж│ннд╜еq,│в║√кZ,03-5770316,03-5638430,╖sж╦елкFб@░╧╖sж╦мь╛╟дu╖~╢щ░╧дOжцд╗╕Ї1╕╣,22099322,IC│]нp╖~░╚,,0920213
н^─▌╢}░╥╕sоq,ифеLкў┐─╗▓зU╖~,"MSI PACIFIC INTERNATIONAL HOLDING CO., LTD.","MSI PACIFIC INTERNATIONAL HOLDING CO., LTD.",,,SCOTIA CENTRE 4TH FLOOR P.O.BOX 2804 GEORGE TOWN GRAND CAYMAN,╖LмPмьз▐к╤еўж│ннд╜еq,о}▓╗,02-32345599-8468,02-32345430,╖sе_елддйM░╧е▀╝w╡є69╕╣,22178368,▒▒к╤д╜еq,,0920213
м№░ъ,┐n┼щ╣q╕Ї╗s│y╖~,╕U░ъеb╛╔┼щк╤еўж│ннд╜еq,ALPHA ANDOMEGA SEMICONDUCTOR LIMITED,,,479E EVELYN SUNNY CA U.S.A.,┬╫├└╣qдlк╤еўж│ннд╜еq,│п╝ск┌,02-26590303,02-26590005,╗Oе_елд║┤Є░╧└Їдs╕Ї1мq32╕╣4╝╙,22151585,╣q┤╣┼щ╖~░╚,,0920214
┬─╝пи╚,кў┐─▒▒к╤╖~,TOP ASIAN WORLDWIDE LTD,TOP ASIAN WORLDWIDE LTD,,,TRUSTNET CHAMBERS LOTEMAU CENTRE P O BOX 1225 APIA SAMOA,┤┤жие°╖~к╤еўж│ннд╜еq,┴щй·╣D,07-3611225,07-3611227,░к╢пел(┬┬)╖г▒ъ░╧д[йў╡єдGдKл╤д╗╕╣дн╝╙,84341994,зы╕ъдз╖~░╚,,0920214
дще╗,ифеL╣q╕г╢g├ф│]│╞╗s│y╖~,ALTEK JAPAN CORPORATION,ALTEK JAPAN CORPORATION,,,2-20-15-405 SHINBASHI MINATO-KU TOKYO 105-0004 JAPAN,╡╪┤╣мьз▐к╤еўж│ннд╜еq,о}╡╜еi          ,03-5780205#357      ,03-5679548          ,╖sж╦┐дмь╛╟дu╖~╢щ░╧му╡oд@╕ЇдC╕╣д@╝╙,97307625,╝╞жьм█╛ўд╬│qлH╛╣зў╗P╣q╕г╢g├ф│]│╞д╬м█├Ў╣s░tеєдз╢iеXдfд╬▓г╛Pд╬║√н╫,,0920214
┬─╝пи╚,ифеLкў┐─╗▓зU╖~,FORTUNE MILES TRADING INC,FORTUNE MILES TRADING INC,,,TRUSTNET(SAMOA)LIMITED TRUSTNET CHAMBERS LOTEMAU CENTRE,пSдOк╤еўж│ннд╜еq,зї─Rмю,02-87915888,02-87915950,╗Oе_елд║┤Є░╧╖s┤ЄдT╕Ї23╕╣6╝╙,20795246,зы╕ъ▒▒к╤╖~░╚,,0920226
кk░ъ,е╝д└├■ифеL╣qдl╣s▓╒еє╗s│y╖~,и╚мw░╙╖~ддд▀,ASIA BUSINESS CENTER,,,4 PL DE LA PERGOLA IMMEUBLE ACCET 95000 CERGY,к@╛U╣qдlк╤еўж│ннд╜еq,ж┐▓K╢Q          ,03-3653121-516      ,03-3658688          ,оч╢щ┐д(┬┬)дK╝wелк°┐│╕Їд╗дCдT╕╣,22601576,╣qдl▓гл~дз╢iеXдf╢R╜цдз╖~░╚,,0920226
н╗┤ф,╣q╕г╗s│y╖~,е@▒╢╕ъ░T│q╕Їж│ннд╜еq,WPG C&C LIMITED,,,RM 711 HUNGHOM COMM CENTRE TOWER B 37-39 MA TAU WAI ROAD,▒╢д╕к╤еўж│ннд╜еq,╢└░╢▓╗,02-27956677,02-27937388,╗Oе_елд║┤Є░╧╖че·╕Ї66л╤36╕╣,23134543,╣q╕гд╬╣qдlд╬ифм█├Ў▓гл~,,0920227
н^─▌║√и╩╕sоq,кў┐─▒▒к╤╖~,LEADER INSIGHT HOLDINGS LIMITED,LEADER INSIGHT HOLDINGS LIMITED,,,P.O.BOX 957 OFFSHORE INCORPORATIONS CENTRE ROAD TOWN TORTOLA,╡╪└║мьз▐к╤еўж│ннд╜еq,о}е@йў,02-28084555-202,02-28084562,╗Oе_┐д(┬┬)▓HдЇ┬эдде┐кF╕ЇдGмqдGдE-дT╕╣дGдK╝╙,80333613,зы╕ъ╖~░╚,,0920305
┬─╝пи╚,кў┐─▒▒к╤╖~,AVISION DEVELOPMENT INC,AVISION DEVELOPMENT INC,,,OFFSHORE CHAMBERS P.O.BOX 217 APIA SAMOA,нiе·║ы▒Kдu╖~к╤еўж│ннд╜еq,▓▒д╓─i,03-5782388#8233,03-5777017,╖sж╦еле_б@░╧мь╛╟дu╖~╢щ░╧му╖sд@╕Ї20╕╣,22099759,зы╕ъ╖~░╚,,0920307
╝w░ъ,,ARGUS ELECTRONICS EUROPE AKTIENGESELLSCHAFT,ARGUS ELECTRONICS EUROPE AKTIENGESELLSCHAFT,,,CHRISTINENSTRASSE 21 D-40880 RATINGEN GERMANY,пq╣йе·╣qк╤еўж│ннд╜еq,│пдхкe          ,02-27159999-3586    ,02-25140248         ,╖sж╦елйMен╕Їд@дTдK╕╣д@╝╙,23069276,╢iеXдf╛P░т╝╞жь╝vн╡м█├Ў▓гл~д╬е·└xжs╕╦╕m▓гл~║[ифеL╣qдl▓гл~╡е╖~░╚,,0920313
н^─▌║√и╩╕sоq,ифеLкў┐─╗▓зU╖~,н^─▌║√и╩╕sоq║ын^╣q╕г(║√и╩оq)▒▒к╤д╜еq,"ELITEGROUP COMPUTER SYSTEM HOLDING CO.,LTD",,,P.O.BOX 3152 ROAD TOWN TORTOLA BRITISH VIRGIN ISLANDS,║ын^╣q╕гк╤еўж│ннд╜еq,кL│вдх╞A,02-26599288-122,02-26586143,╗Oе_елд║┤Є░╧д║┤Є╕Їд@мq240╕╣2╝╙,22449566,зы╕ъ╖~░╚,,0920314
╖sе[йY,ифеL╣q╕г╢g├ф│]│╞╗s│y╖~,ALLTEK TECHNOLOGY (SINGAPORE)PTE LTD,ALLTEK TECHNOLOGY (SINGAPORE)PTE LTD,,,BLK 3 ANG MO KIO INDUSTRIAL PARK 2A #07-14 AMK TECH 1 SINGAPORE,е■мьмьз▐к╤еўж│ннд╜еq,д¤дь┴o,02-26275859-202,02-26579539,╗Oе_елд║┤Є░╧╖че·╕ЇдTд╗вп╕╣дE╝╙,86027892,╕ъ░T│n┼щд╬╕ъо╞│B▓zд╬╣qдl╕ъ░Tи╤└│д╬▓z│fе]╕╦д╬оi─¤д╬░ъ╗┌╢TйЎ,,0920314
╝╥и╜жш┤╡,ифеL╣q╕г╢g├ф│]│╞╗s│y╖~,DSG TECHNOLOGY (MAURITIUS)INC,DSG TECHNOLOGY (MAURITIUS)INC,,,G.P.O.BOX 365 307ST JAMES COURT ST DENIS STREET PORT LOUIS,╝wдh│qмьз▐к╤еўж│ннд╜еq,│пз╗н╕          ,02-87892020         ,02-87805511         ,╗Oе_елкQдп╕ЇдEдC╕╣д@д@╝╙,97477509,╣q╕гд╬иф╢g├ф│]│╞д╬╣q╕г│n┼щ│]нpму╡o╡е╢R╜ц╖~░╚,,0920314
н^─▌║√и╩╕sоq,кў┐─▒▒к╤╖~,RODEX GROUP CORPORATION,RODEX GROUP CORPORATION,,,P.O.BOX 3321 (SEALIGHT HOUSE)ROAD TOWN TORTOLA BRITISH VIRGIN,╡╪╕Rдu╖~к╤еўж│ннд╜еq,╕нй·л█,03-4511493-288,03-4622317,оч╢щ┐д(┬┬)дд├cелдu╖~░╧ж┐е_╕ЇдGдQдE╕╣,12494555,д@пызы╕ъ,,0920317
ої░ъ,ифеLп╝┬┤л~╗s│y╖~,дTмvкF┬╫п╝┬┤(ої░ъ)к╤еўж│ннд╜еq,"TRI OCEAN TUNTEX  TEXTILE (THAILAND)CO., LTD.",,,54 14 FLOOR BB BUILDING TOWER ROOM NUMBER 1412 SUKHUMWIT 21,дTмvп╝┬┤┼╓║√к╤еўж│ннд╜еq,╢└лT╗╩,02-25525136-103,02-25509123,╗Oе_елдjжP░╧жш╣че_╕Їд╗дG-дн╕╣дE╝╙,07029919,╗Eрне[дu╡╖▓г╛P,,0920318
м№░ъ,┐n┼щ╣q╕Ї╗s│y╖~,COMBRIO NETWORKS INC,COMBRIO NETWORKS INC,,,"1754 TECHNOLOGY DR,SUITE 230 SAN JOSE CA 95110",е■мьмьз▐к╤еўж│ннд╜еq,д¤дь┴o,02-26275859-202,02-26579539,╗Oе_елд║┤Є░╧╖че·╕ЇдTд╗вп╕╣дE╝╙,86027892,▒qи╞╕g└чму╡oбB╗s│yд╬╛P░т║Ї╕Ї╕Їе╤╛╣д╬ец┤л╛╣дзIC┤╣д∙дз╖~░╚,,0920318
м№░ъ,╣q╜uд╬╣q╞l╗s│y╖~,NETAMIN COMMUNICATION CORPORATION,NETAMIN COMMUNICATION CORPORATION,,,20955 PATHFINDER RD #120 DIAMOND BAR CA 91765 USA,╡╪┴те·║╨мьз▐к╤еўж│ннд╜еq,│п╖ч▒¤          ,02-86926538-106     ,02-86926536         ,╗Oе_┐д(┬┬)ж┴дюелдjжP╕ЇдGмqд@д╗дн╕╣дT╝╙,16203494,╕ъ░T│n┼щ│]нp╖~.╕ъ░T│n┼щкA░╚╖~дз╖~░╚,,0920319
н╗┤ф,│Q░╩╣qдlд╕еє╗s│y╖~,е■нZ░ъ╗┌ж│ннд╜еq,"AMWIN INTERNATIONAL CO.,LTD",,,NO 1302-3 13F SHATIN GALLERIA 18-24 SHAN MEI ST FO TAN SHATIN H.K.,е·╡┘╣qдlк╤еўж│ннд╜еq,зfе■║╓,0226981143,02-26981147,╖sе_елж┴дю░╧╖sеxдн╕Ї1мq79╕╣9╝╙дз7,22626725,░ъ╗┌╢TйЎ╖~░╚,,0920319
н^─▌║√и╩╕sоq,кў┐─▒▒к╤╖~,HEADQUARTER INTERNATIONAL LIMITED,HEADQUARTER INTERNATIONAL LIMITED,,,P.O.BOX 957 OFFSHORE INCORPORATIONS CENTRE ROAD TOWN TORTOLA,ж|л┼иt▓╬мьз▐к╤еўж│ннд╜еq,░к╖sй·          ,02-27296666         ,02-87884730         ,╗Oе_елкQдs░╧дK╝w╕Їе|мqд@дGдT╕╣дC╝╙дзе|Aл╟,23145632,┬рзы╕ъ╖~░╚,,0920319
м№░ъ,░t╜u╛╣зў╗s│y╖~,ENERMAX USA CORPORTION,ENERMAX USA CORPORTION,,,17733 ROWLAND STRET CITY OF INDUSTRY CA 91748 U.S.A.,лO╛Uмьз▐к╤еўж│ннд╜еq,─мл█дх,03-3161675,03-3466626,оч╢щелоч╢щ░╧╕g░ъ╕Ї888╕╣2╝╙дз1дз2,23725553,POWER SUPPLY CASE╖~░╚,,0920319
ої░ъ,дг░╩▓г╕gмЎ╖~,┐│╣Aої░ъж│ннд╜еq,"SINON CORPORATION CO.,LTD",,,70 MU 5 SETTAKIT RD THAMAI KRATUMBAN SAMUTSAKORN 74110 THAILAND,┐│╣Aк╤еўж│ннд╜еq,╖идх▒l,04-2812171,,╗Oдделжшб@░╧▒Ўдtжш╕Їд@мqдGдT╕╣,51911712,й╨жa▓г╢R╜цд╬кў┐─п▓╕юд╬еЄд╢д╬н╔┤┌╖~░╚д╬░ъд║е~╢R╜ц╢TйЎд╬╡∙еUд╜еq╖~░╚(ж╫├■)╣Aз@кл╢iеXдf,,0920319
н^─▌║√и╩╕sоq,┐n┼щ╣q╕Ї╗s│y╖~,PHONIC GROUP LTD,PHONIC GROUP LTD,,,2ND FLOOR ABBOTT BUILDING ROAD TOWN TORTOLA BRITISH VIRGIN ISLANDS,е■░ьк╤еўж│ннд╜еq,д¤▒╙пP          ,02-87682628#7600    ,02-87683655         ,╗Oе_елкF┐│╕Їд╗д@╕╣дE╝╙,04934334,еЇжєдг╣Hд╧н^─▌║√и╩╕sоqкkеOдзд@д┴╖~░╚,,0920324
н╗┤ф,╛Tзўкюй╡бB└╜лмбBж∙╜u╖~,дд░ъ▒┤░w(н╗┤ф)ж│ннд╜еq,C.C.P CONTACT PROBES (H.K),,,NO 28 1/F SHING YIP IND BLDG 19-21 SHING YIP ST KWUN TDNG KL,дд░ъ▒┤░wк╤еўж│ннд╜еq,│пз╙оp,02-29612525#253,02-29636612,╖sе_елкO╛Ї░╧йMен╕ЇдGе|л╤дK╕╣е|╝╙,22059031,╢iеXдf╢TйЎ,,0920324
┴·░ъ,┐n┼щ╣q╕Ї╗s│y╖~,SILICON TECH LIMITED,SILICON TECH LIMITED,,,678-32 MAENG-LI WONSAM-MYEON YONGIN-SI KYUNGKI-DO KOREA 449,▒R╢Vмьз▐к╤еўж│ннд╜еq,│в┤╝╜ў,02-77102833,02-27994190,╗Oе_елд║┤Є░╧│Ў│╗дj╣DдGмq483╕╣8╝╙,23621614,еb╛╔┼щ│]│╞▓г╛P,,0920324
н^─▌║√и╩╕sоq,кў┐─▒▒к╤╖~,QDI DEVELOPMENT,QDI DEVELOPMENT,,,P.O.BOX 3152 ROAD TOWN TORTOLA BRITISH VIRGIN ISLANDS,╝s╜ў╣qдlк╤еўж│ннд╜еq,кLж╩и╜          ,02-27159999         ,02-25140248        ,оч╢щ┐д(┬┬)└tдs╢m╡╪и╚дG╕Їд@дKдE╕╣,70745714,зы╕ъ╖~░╚,,0920324
иFпQжaк№й╘зB,ифеL░Єе╗кў─▌┼▒│y╖~,иFпQжaк№й╘зBдд╣йк№й╘зBж│ннд╜еq,CTCI ARABIA LTD,,,P.O.BOX 2824,дд╣йдu╡{к╤еўж│ннд╜еq,зEлTл█,02-28339999#16022,02-28357531,╗Oе_елдhкL░╧дддsе_╕Ї6мq89╕╣,20817282,║ы┴х╝tд╬└xкo╝╤д╬е█д╞╝tд╬д╞╛╟жXжи╝tдз╗s│yд╬║√н╫╖~░╚,,0920325
┬─╝пи╚,ифеLкў┐─╗▓зU╖~,│╗│г░ъ╗┌ж│ннд╜еq,TOP CITY INTERNATIONAL LIMITED,,,жш┬─╝пжш░ъ╖Rд╟и╚╣╥е~╖|└]дj╝╙217╕╣╢lмF╕╣╜X,╤╘╗╩дu╖~к╤еўж│ннд╜еq,кLдьйM,02-27973999,02-27975058,░Є╢йелдjкZ▒[дu╖~░╧кZ░V╡єдGдT╕╣,04777186,о№е~▒▒к╤╖~░╚,,0920326
┐DдjзQи╚,╣qлH╖~,еx╞W╣qлH┐Dмwж│ннд╜еq,TAIWAN TELECOM (AUST)PTY LTD,,,LEVEL161 1 ALFRED STREET SYDNEY AUSTRALIA,еx╞WдjнЇдjк╤еўж│ннд╜еq,о]╣Dжs          ,02-27750843         ,02-27781512         ,╗Oе_елдп╖R╕Їе|мqд@д╗дE╕╣д@д╗╝╙,97176270,╣qлH╛╣зўд╬з▐│Nдзму╡o╖~░╚,,0920326
н^─▌║√и╩╕sоq,ифеLкў┐─╗▓зU╖~,"IRONMAN OVERSEAS CO.,LTD","IRONMAN OVERSEAS CO.,LTD",,,TROPIC ISLE BUILDING P.O.BOX 438 ROAD TOWN TORTOLA BRITISH,е▀└Bмьз▐к╤еўж│ннд╜еq,═╫ддйM,03-25459988,03-25451124,╖sж╦┐деxд╕╡єдGдQ╕╣дн╝╙дзд@,16657967,н^─▌║√и╩╕sоq▓{жце═о─дзкkл▀дгдйеH╕TдюдзеЇжє╖~░╚,,0920328
┴·░ъ,кў┐─▒▒к╤╖~,"DIOSTECH CO.,LTD","DIOSTECH CO.,LTD",,,1082-1 POONGDUKCHEONDONG YONGINSHING,е▌ж∙░єе°╖~к╤еўж│ннд╜еq,нЁ└A║a,02-2627-0383,02-27987182,╗Oе_елд║┤Є░╧└Їдs╕ЇдGмq62╕╣1╝╙,20891326,╝╞жь▓гл~IC│]нpд╬╢R╜цдз╖~░╚,,0920328
кk░ъ,╡o╣qбB┐щ╣qбB░t╣q╛ў▒ё╗s│y╖~,ENERPOINT COMPUTERS FRANCE INC.,ENERPOINT COMPUTERS FRANCE INC.,,,6. avenue des Marguerites Bat. Industriel Polyvalent 19 94380 BONNEUIL-SUR-MARNE,лO╛Uмьз▐к╤еўж│ннд╜еq,─мл█дх,03-3161675,03-3466626,оч╢щелоч╢щ░╧╕g░ъ╕Ї888╕╣2╝╙дз1дз2,23725553,POWER SUPPPLYбBCASE,,0920328
н^─▌╢}░╥╕sоq,кў┐─▒▒к╤╖~,"E-SMART HOLDING CO.,LTD","E-SMART HOLDING CO.,LTD",,,UGLAND HOUSE P.O.BOX 2804 GEORGE TOWN GRAND CAYMAN CAYMAN ISLANDS,еззJ┤╦╖L╣qдlк╤еўж│ннд╜еq,╖и┤f▒j,02-26953467-3200,02-26952281,╗Oе_┐д(┬┬)▒d╣ч╡є169л╤23╕╣13╝╙дз1,16752651,▒▒к╤д╜еq,,0920331
н^─▌║√и╩╕sоq,кў┐─▒▒к╤╖~,"EXCELSIOR HEAL THCARE CO.,LIMITED","EXCELSIOR HEAL THCARE CO.,LIMITED",,,TRUST NET CHAMBERS P.O.BOX 3444 ROAD TOWN TORTOLA BRITISH,и╬┬х░╖▒dи╞╖~к╤еўж│ннд╜еq,│┼╜ўкF,02-22251888,02-22212488,╖sе_елддйM░╧дде┐╕Ї880╕╣17╝╙,22854522,зы╕ъд╬░ъ╗┌╢TйЎ╖~░╚,,0920331
н^─▌║√и╩╕sоq,кў┐─▒▒к╤╖~,SYNERGY WORLD GROUP LTD,SYNERGY WORLD GROUP LTD,,,JIPFA BUILDING 3RD FLOOR ROAD TOWN TORTOLA BRITISH VIRGIN ISLANDS,еx╞Wеb╛╔┼щк╤еўж│ннд╜еq,д¤иqлF,02-9174145#1402,29145594,╗Oе_┐д(┬┬)е_╖s╕ЇдTмq205╕╣11╝╙,34286449,жU║╪е═▓ги╞╖~дззы╕ъ╖~░╚,,0920401
м№░ъ,┐n┼щ╣q╕Ї╗s│y╖~,"GREAT WALL SEMICONDUCTOR CO.,LTD","GREAT WALL SEMICONDUCTOR CO.,LTD",,,911 WEST DIAMOND DRIVE TEMPE AZ 85283 U.S.A.,еx╞Wеb╛╔┼щк╤еўж│ннд╜еq,д¤иqлF,02-9174145#1402,29145594,╗Oе_┐д(┬┬)е_╖s╕ЇдTмq205╕╣11╝╙,34286449,╣q┤╣┼щдG╖е┼щ▓г╛P,,0920401
▓№─ї,ифеL╣q╕г╢g├ф│]│╞╗s│y╖~,ARI INTERNATIONAL BV,ARI INTERNATIONAL BV,,,DE BINDERIJ 70-72 1321 EK ALMERE THE NETHARLAND,└u╕sмьз▐к╤еўж│ннд╜еq,д¤┤┬╝┘,035-302747-301,035-307048,╖sж╦елн╗дs░╧д√оHлn╕Ї15дз3╕╣,22575850,жh┤C┼ще·║╨д╬╡w║╨▓гл~╖~░╚,,0920407
┬─╝пи╚,ифеLкў┐─╗▓зU╖~,кў╛Ї░ъ╗┌▒▒к╤ж│ннд╜еq,GBE INVESTMENTS LTD,,,,кў╛Їмьз▐к╤еўж│ннд╜еq,╢└кўої,02-26627300,26620642,╗Oе_┐д(┬┬)▓`з|╢mе_▓`╕Ї3мq270л╤6╕╣3╝╙,04865462,▒▒к╤д╜еq╖~░╚,,0920408
┬─╝пи╚,ифеLкў┐─╗▓зU╖~,жие\зы╕ъж│ннд╜еq,SUCCESS INVESTMENTS LIMITED,,,OFFSHORE CHAMBERS P.O.BOX 217 APIA SAMOA,дW┬`╢}╡oмьз▐к╤еўж│ннд╜еq,                ,06-2663211-307      ,06-2665100         ,╗Oлn┐д(┬┬)дп╝w╢mе╨нэдG╡єд@дCдG╕╣,73654033,зы╕ъ░ъд║е~мьз▐▓г╖~й╬ифеLжц╖~й╥│]е▀дз╗s│y╖~й╬▒▒к╤д╜еq╖~░╚,,0920409
дще╗,ифеLоaе╬╣q╛╣╗s│y╖~,TWINBIRD CORPORATION,TWINBIRD CORPORATION,,,дще╗░ъ╖s╝є┐джш╗ZнькЄжNе╨╦mдjжrжшд╙е╨жr╝єжV2084-2,нЁ╛W╣ъ╖~к╤еўж│ннд╜еq,о}жWлi          ,02-27159999#3551    ,02-25140248        ,оч╢щ┐д(┬┬)дд├cелдu╖~╢щ░╧лn╢щ╕ЇдGдздGвп╕╣,34097236,╣qоЁ╛ў╛╣▓г╛P╖~░╚,,0920414
дще╗,┐n┼щ╣q╕Ї╗s│y╖~,ошжб╖|к└CRYSTAGE,CRYSTAGE INCORPORATION,,,дще╗░ъдjи┴елкF╒рдt░╧кFддоqд@дBе╪дQдE╡fе|╕╣,дддщ╖sмьз▐к╤еўж│ннд╜еq,┴┬║a┼у,07-3606789-170,07-3606600,░к╢пел(┬┬)╖г▒ъе[дuеXдf░╧╖s╕gд@╕Їд@вп╕╣,16833367,╖sз▐│N(зC╖┼жh┤╣к┐┴б╜д╣q┤╣┼щLTPS)к║муиs╢}╡o╗Pе═▓г▓{│їк║з▐│N▓╛┬р,,0920416
